Date;Total APU;%PIB
1995T4;84.522;0.275065087216871
1996T1;85.372;0.274686452293773
1996T2;86.299;0.276396491037027
1996T3;86.809;0.276178568474367
1996T4;87.335;0.277240766312715
1997T1;87.497;0.276096772870274
1997T2;87.927;0.273395499532043
1997T3;88.24;0.271644768436996
1997T4;88.511;0.268586288932586
1998T1;88.427;0.264970454627177
1998T2;88.606;0.262544075380011
1998T3;89.044;0.262330048462887
1998T4;89.839;0.262843149588791
1999T1;90.984;0.264373861321695
1999T2;91.856;0.264392397739931
1999T3;92.968;0.264320887968976
1999T4;94.318;0.264485753304039
2000T1;95.766;0.264127421912708
2000T2;96.874;0.26351524119884
2000T3;97.662;0.262464525283798
2000T4;98.278;0.260686424560408
2001T1;98.72;0.259323374040869
2001T2;99.448;0.259384454877413
2001T3;100.315;0.259568709440368
2001T4;101.455;0.260960709922191
2002T1;102.728;0.261784080628926
2002T2;104.42;0.263900788265235
2002T3;105.987;0.265632244692343
2002T4;107.542;0.267881918929489
2003T1;108.399;0.268832057774625
2003T2;109.68;0.271046375421965
2003T3;110.847;0.270621897895757
2003T4;112.173;0.27072236555351
2004T1;113.572;0.270609259215135
2004T2;114.523;0.27041200624302
2004T3;115.286;0.270425085734928
2004T4;116.626;0.269998217390398
2005T1;117.75;0.270634284020051
2005T2;118.955;0.271265945753652
2005T3;120.373;0.272365449797943
2005T4;120.962;0.269696841326077
2006T1;122.094;0.268988171429453
2006T2;122.888;0.266718177891701
2006T3;123.605;0.266440043715093
2006T4;124.919;0.265263609414683
2007T1;126.348;0.264906049640007
2007T2;127.538;0.263786221018015
2007T3;128.783;0.26348169092464
2007T4;129.575;0.2626814899509
2008T1;130.418;0.261297451298994
2008T2;131.235;0.262615488980895
2008T3;132.54;0.265745426548076
2008T4;133.753;0.271122777856607
2009T1;134.905;0.27841813179896
2009T2;136.458;0.2829118411723
2009T3;137.927;0.285955669998362
2009T4;139.435;0.285896184633554
2010T1;139.524;0.283914290946829
2010T2;140.054;0.282423306264758
2010T3;140.747;0.280929892775307
2010T4;140.961;0.278963315080259
2011T1;141.527;0.276742066937294
2011T2;142.131;0.277123844025589
2011T3;142.814;0.277202701102685
2011T4;143.799;0.277546380291368
2012T1;145.064;0.278786946996195
2012T2;145.856;0.279781554934484
2012T3;146.722;0.28023485010543
2012T4;147.287;0.281096008580578
2013T1;147.895;0.281419054559847
2013T2;148.69;0.280599583695822
2013T3;149.037;0.281195520101432
2013T4;149.295;0.28036303816295
2014T1;149.433;0.279351091453258
2014T2;149.462;0.27890633455623
2014T3;149.697;0.277807264332321
2014T4;149.803;0.276636842931405
2015T1;149.735;0.273992530553914
2015T2;148.809;0.271997470284063
2015T3;149.609;0.271404962275891
2015T4;150.08;0.271119814436118
2016T1;150.325;0.269278996865204
2016T2;150.735;0.271124157542858
2016T3;151.641;0.271995939100862
2016T4;152.552;0.271867637571597
2017T1;153.947;0.271303799208366
2017T2;154.702;0.27036917936063
2017T3;155.583;0.27000718478076
2017T4;156.326;0.269216130993282
2018T1;156.746;0.268320280737793
2018T2;157.399;0.268571019057743
2018T3;157.933;0.267791529110945
2018T4;158.88;0.267261927791506
2019T1;159.498;0.26594479950512
2019T2;160.533;0.265800275183331
2019T3;161.388;0.265794453475101
2019T4;162.207;0.266352815221193
