Date;Total APU;%PIB
1949T1;0.566;0.176819743830053
1949T2;0.574;0.177105831533477
1949T3;0.59;0.176329946204423
1949T4;0.61;0.17748036077975
1950T1;0.635;0.177324769617425
1950T2;0.666;0.176564156945917
1950T3;0.696;0.174436090225564
1950T4;0.734;0.176061405612857
1951T1;0.774;0.175629680054459
1951T2;0.823;0.172645269561569
1951T3;0.881;0.176623897353649
1951T4;0.948;0.176273707698029
1952T1;1.022;0.180629197596324
1952T2;1.078;0.191508260792325
1952T3;1.118;0.194536279798156
1952T4;1.142;0.198989370970552
1953T1;1.148;0.198581560283688
1953T2;1.156;0.1964316057774
1953T3;1.167;0.196928788390145
1953T4;1.178;0.195551128818061
1954T1;1.193;0.196313970709232
1954T2;1.206;0.193486282688914
1954T3;1.217;0.191201885310291
1954T4;1.226;0.191263650546022
1955T1;1.234;0.189496314496315
1955T2;1.254;0.188005997001499
1955T3;1.288;0.189244784014105
1955T4;1.335;0.191590126291619
1956T1;1.394;0.196448703494927
1956T2;1.449;0.197357668210297
1956T3;1.499;0.19970690114575
1956T4;1.542;0.198583386992917
1957T1;1.582;0.197898423817863
1957T2;1.622;0.198945173555746
1957T3;1.665;0.195262108596224
1957T4;1.71;0.192762935407508
1958T1;1.757;0.187934538453311
1958T2;1.81;0.187837276878373
1958T3;1.866;0.190466469327345
1958T4;1.925;0.19342845659164
1959T1;1.989;0.196405648267009
1959T2;2.042;0.195406698564593
1959T3;2.085;0.195664414414414
1959T4;2.118;0.191986947063089
1960T1;2.144;0.189902568644818
1960T2;2.179;0.187569940604287
1960T3;2.227;0.187980079344982
1960T4;2.284;0.189135475322955
1961T1;2.354;0.190453074433657
1961T2;2.432;0.194871794871795
1961T3;2.518;0.196811005158668
1961T4;2.611;0.198736489572233
1962T1;2.709;0.197910578609001
1962T2;2.807;0.199772258202263
1962T3;2.907;0.201889020070838
1962T4;3.01;0.20387428881062
1963T1;3.022;0.204341064304551
1963T2;3.296;0.208107084227807
1963T3;3.399;0.205738151443617
1963T4;3.476;0.208818935479995
1964T1;3.601;0.209579792806425
1964T2;3.674;0.210737639096019
1964T3;3.763;0.21061174231824
1964T4;3.885;0.212620402802102
1965T1;3.964;0.214027320339075
1965T2;4.051;0.213987639321747
1965T3;4.122;0.213486637663145
1965T4;4.186;0.212908804231728
1966T1;4.251;0.212305848274484
1966T2;4.358;0.211944363388775
1966T3;4.457;0.212785257328368
1966T4;4.578;0.214980042263442
1967T1;4.735;0.216903344021988
1967T2;4.801;0.216553901668922
1967T3;4.919;0.216963655610445
1967T4;4.937;0.215834572003148
1968T1;5.062;0.214164833305128
1968T2;5.104;0.224066025725449
1968T3;5.521;0.219087301587302
1968T4;5.667;0.217392972226485
1969T1;5.839;0.215692069003731
1969T2;6.021;0.216910440233446
1969T3;6.184;0.217616215645564
1969T4;6.368;0.218673809278528
1970T1;6.566;0.217857261355719
1970T2;6.805;0.219183818082262
1970T3;6.961;0.218322669677581
1970T4;7.218;0.221214257255815
1971T1;7.417;0.219561291850449
1971T2;7.661;0.222148118076901
1971T3;7.869;0.220902812868452
1971T4;8.041;0.221490744821507
1972T1;8.191;0.21823462020089
1972T2;8.437;0.219530599500416
1972T3;8.695;0.218731133024753
1972T4;9.023;0.221309263937603
1973T1;9.424;0.222926621564082
1973T2;9.713;0.222087572882131
1973T3;10.018;0.219823140894828
1973T4;10.363;0.216287855070649
1974T1;10.813;0.218767070629413
1974T2;11.526;0.224485821128077
1974T3;12.061;0.225544647031323
1974T4;12.668;0.229821665064132
1975T1;13.384;0.236295263148603
1975T2;14.057;0.242717776051109
1975T3;14.714;0.246841919844319
1975T4;15.286;0.247698988851439
1976T1;15.866;0.247326578332034
1976T2;16.516;0.246026425943305
1976T3;17.07;0.245272716822806
1976T4;17.537;0.244479451290916
1977T1;18.035;0.245330757825147
1977T2;18.366;0.242827299891583
1977T3;18.886;0.242731922987944
1977T4;19.525;0.244511790414887
1978T1;20.213;0.24583145835107
1978T2;21.007;0.245279934613813
1978T3;21.744;0.244413470617328
1978T4;22.563;0.245827159417763
1979T1;23.017;0.24213383267234
1979T2;23.823;0.244160662491929
1979T3;24.836;0.245461104357537
1979T4;25.798;0.247119114900139
1980T1;26.839;0.24691119513519
1980T2;27.876;0.249704396431259
1980T3;29.012;0.253421965216936
1980T4;30.002;0.256662075573388
1981T1;31.053;0.257178351070438
1981T2;32.338;0.259239069439323
1981T3;33.818;0.261290148114381
1981T4;35.548;0.263707242527874
1982T1;37.235;0.264808585388056
1982T2;38.521;0.264929402136161
1982T3;39.618;0.267331542935802
1982T4;40.564;0.267809277329566
1983T1;41.748;0.267346324532362
1983T2;42.636;0.265762424499311
1983T3;43.639;0.264547730620707
1983T4;44.657;0.265311699808102
1984T1;45.746;0.265592977281832
1984T2;46.605;0.265582794816562
1984T3;47.782;0.267290953435815
1984T4;48.612;0.268911839710576
1985T1;49.434;0.26883837285186
1985T2;50.574;0.268709055262445
1985T3;51.46;0.268427669019191
1985T4;52.513;0.270059141167395
1986T1;52.95;0.266914678038895
1986T2;53.952;0.266279724007226
1986T3;54.554;0.264654373632558
1986T4;55.14;0.265462440964215
1987T1;55.244;0.264841102050404
1987T2;56.209;0.264975557325967
1987T3;57.21;0.265510135887726
1987T4;58.365;0.265306307985327
1988T1;59.4;0.264771957351211
1988T2;60.426;0.264888062809323
1988T3;61.332;0.262742578074798
1988T4;61.896;0.259828141332136
1989T1;62.924;0.258912406596662
1989T2;63.57;0.257986753676829
1989T3;64.503;0.256560891597127
