DATE,IR3TIB01FRM156N
1980-01-01,12.37
1980-02-01,12.63
1980-03-01,13.99
1980-04-01,12.94
1980-05-01,12.65
1980-06-01,12.35
1980-07-01,11.93
1980-08-01,11.27
1980-09-01,11.83
1980-10-01,11.73
1980-11-01,11.26
1980-12-01,11.56
1981-01-01,11.43
1981-02-01,11.9
1981-03-01,12.57
1981-04-01,13
1981-05-01,15.9
1981-06-01,18.92
1981-07-01,17.29
1981-08-01,17.44
1981-09-01,17.59
1981-10-01,16.46
1981-11-01,15.35
1981-12-01,15.26
1982-01-01,15.07
1982-02-01,14.52
1982-03-01,15.25
1982-04-01,16.36
1982-05-01,16.19
1982-06-01,15.7
1982-07-01,14.63
1982-08-01,14.48
1982-09-01,14.06
1982-10-01,13.45
1982-11-01,12.97
1982-12-01,12.71
1983-01-01,12.58
1983-02-01,12.9
1983-03-01,12.65
1983-04-01,12.13
1983-05-01,12.56
1983-06-01,12.63
1983-07-01,12.37
1983-08-01,12.37
1983-09-01,12.43
1983-10-01,12.45
1983-11-01,12.35
1983-12-01,12.19
1984-01-01,12.25
1984-02-01,12.45
1984-03-01,12.54
1984-04-01,12.48
1984-05-01,12.2
1984-06-01,12.23
1984-07-01,11.78
1984-08-01,11.41
1984-09-01,11.05
1984-10-01,10.8
1984-11-01,10.55
1984-12-01,10.69
1985-01-01,10.46
1985-02-01,10.63
1985-03-01,10.73
1985-04-01,10.48
1985-05-01,10.18
1985-06-01,10.2
1985-07-01,9.98
1985-08-01,9.81
1985-09-01,9.62
1985-10-01,9.32
1985-11-01,8.96
1985-12-01,8.95
1986-01-01,8.96
1986-02-01,8.81
1986-03-01,8.31
1986-04-01,7.61
1986-05-01,7.24
1986-06-01,7.24
1986-07-01,7.13
1986-08-01,7.11
1986-09-01,7.08
1986-10-01,7.41
1986-11-01,7.51
1986-12-01,8.104
1987-01-01,8.5817
1987-02-01,8.4777
1987-03-01,7.9622
1987-04-01,8
1987-05-01,8.2203
1987-06-01,8.3318
1987-07-01,7.9541
1987-08-01,8.004
1987-09-01,7.9766
1987-10-01,8.3276
1987-11-01,8.787
1987-12-01,8.6043
1988-01-01,8.3286
1988-02-01,7.6767
1988-03-01,8.0388
1988-04-01,8.1286
1988-05-01,7.9335
1988-06-01,7.3927
1988-07-01,7.4456
1988-08-01,7.746
1988-09-01,7.9904
1988-10-01,8.0152
1988-11-01,8.1401
1988-12-01,8.4698
1989-01-01,8.6835
1989-02-01,9.2355
1989-03-01,9.158
1989-04-01,8.7464
1989-05-01,8.9219
1989-06-01,8.9995
1989-07-01,9.1782
