Date;Déficit;Dépenses_totales;Recettes_totales;Salaires_fonctionnaires;Price_index;Charge_interet;GDP;GDP_deflator;G 
1996T1;-12.49621812;170.17;157.673;41.539;87.6;10.975;310798.0;77.1972154998671;85.372
1996T2;-13.08564325;171.398;158.312;41.903;88.1;11.123;312229.0;77.3115558628355;86.299
1996T3;-11.40366564;172.513;161.109;42.167;87.8;11.232;314322.0;77.3880878352193;86.809
1996T4;-11.93295058;173.156;161.223;42.391;87.6;11.302;315015.0;77.4703820896302;87.335
1997T1;-12.11016133;174.508;162.397;42.596;87.3;11.333;316907.0;77.6670593156371;87.497
1997T2;-10.91117442;175.783;164.871;42.83;87;11.368;321611.0;77.9333262304313;87.927
1997T3;-13.03776561;177.156;164.118;43.098;86.8;11.408;324836.0;78.1371621789394;88.24
1997T4;-11.20359833;177.502;166.299;43.403;87.6;11.451;329544.0;78.4009378823589;88.511
1998T1;-9.622847405;177.645;168.022;43.749;87.5;11.498;333724.0;78.7093071880099;88.427
1998T2;-8.691887923;178.262;169.57;44.129;87.8;11.463;337490.0;78.8906186133163;88.606
1998T3;-7.387260467;179;171.612;44.52;88;11.347;339435.0;78.787254133917;89.044
1998T4;-6.130980528;180.549;174.419;44.923;88.3;11.148;341797.0;78.7235176696611;89.839
1999T1;-6.953291553;182.122;175.169;45.344;88.4;10.898;344149.0;78.8511411605463;90.984
1999T2;-5.865699041;183.369;177.503;45.765;88.6;10.644;347423.0;78.9473510108259;91.856
1999T3;-4.188639738;184.888;180.699;46.236;88.7;10.497;351724.0;78.9878229155632;92.968
1999T4;-4.986120384;186.773;181.787;46.723;89.2;10.596;356609.0;78.9984068123317;94.318
2000T1;-3.861396983;188.733;184.872;47.152;89.9;10.685;362575.0;79.5657301629424;95.766
2000T2;-4.365896675;190.316;185.95;47.588;90.4;10.629;367622.0;79.9211982942132;96.874
2000T3;-3.179667216;191.76;188.58;47.97;91;10.878;372096.0;80.3861002507881;97.662
2000T4;-8.323370307;193.181;184.858;48.33;91.6;11.069;376997.0;80.7760322299054;98.278
2001T1;-5.015985967;195.26;190.244;48.728;91.8;11.257;380683.0;81.1197644724232;98.72
2001T2;-2.147182475;197.236;195.089;49.16;92.5;11.563;383400.0;81.6011951467509;99.448
2001T3;-5.723120108;200.252;194.528;49.667;92.9;11.751;386468.0;81.9616126784321;100.315
